,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Hyundai,EonERA PLUS,330399,2016,Hyderabad,Petrol,10674,Manual,2,7350
1,Maruti,Wagon R 1.0LXI,350199,2011,Hyderabad,Petrol,20979,Manual,1,7790
2,Maruti,Alto K10LXI,229199,2011,Hyderabad,Petrol,47330,Manual,2,5098
3,Maruti,RitzVXI BS IV,306399,2011,Hyderabad,Petrol,19662,Manual,1,6816
4,Tata,NanoTWIST XTA,208699,2015,Hyderabad,Petrol,11256,Automatic,1,4642
5,Maruti,AltoLXI,249699,2012,Hyderabad,Petrol,28434,Manual,1,5554
6,Maruti,AltoLXI,240599,2011,Hyderabad,Petrol,31119,Manual,1,5352
7,Maruti,Alto K10LXI,191999,2010,Hyderabad,Petrol,10910,Manual,1,4271
8,Honda,Brio1.2 S MT I VTEC,362299,2013,Hyderabad,Petrol,40362,Manual,2,8059
9,Maruti,Wagon R 1.0VXI,385799,2014,Hyderabad,Petrol,15673,Manual,2,8582
10,Maruti,AltoLXI,229499,2011,Hyderabad,Petrol,35039,Manual,1,5105
11,Hyundai,i10SPORTZ 1.1 IRDE2,401599,2015,Hyderabad,Petrol,32606,Manual,2,8933
12,Hyundai,i10MAGNA 1.2 KAPPA2,368999,2013,Hyderabad,Petrol,35377,Manual,1,8208
13,Honda,Brio1.2 V MT I VTEC,405199,2012,Hyderabad,Petrol,32173,Manual,1,9013
14,Maruti,SwiftVXI,403899,2011,Hyderabad,Petrol,46729,Manual,1,8985
15,Maruti,Alto 800LXI,234999,2012,Hyderabad,Petrol,44068,Manual,2,5227
16,Maruti,AltoLXI,241599,2011,Hyderabad,Petrol,26790,Manual,1,5374
17,Hyundai,i10MAGNA 1.2 KAPPA2,328999,2012,Hyderabad,Petrol,44883,Manual,1,7318
18,Hyundai,i10SPORTZ 1.1 IRDE2,361899,2014,Hyderabad,Petrol,28446,Manual,1,8050
19,Maruti,Alto 800VXI,300599,2015,Hyderabad,Petrol,29145,Manual,1,6687
20,Maruti,Alto K10VXI,356099,2017,Hyderabad,Petrol,24809,Manual,2,7921
21,Maruti,Alto 800VXI,295099,2015,Hyderabad,Petrol,25048,Manual,2,6564
22,Maruti,Alto K10LXI,226699,2011,Hyderabad,Petrol,47359,Manual,2,5043
23,Hyundai,Santro XingGL PLUS,348899,2013,Hyderabad,Petrol,13658,Manual,2,7761
24,Maruti,Alto K10VXI,283199,2012,Hyderabad,Petrol,28852,Manual,2,6300
25,Maruti,AltoLXI,255799,2012,Hyderabad,Petrol,37800,Manual,1,5690
26,Hyundai,Grand i10ASTA 1.2 VTVT,535699,2017,Hyderabad,Petrol,19187,Manual,1,11916
27,Maruti,Alto K10LXI,283399,2013,Hyderabad,Petrol,25953,Manual,1,6304
28,Maruti,Eeco5 STR WITH AC PLUSHTR,452799,2019,Hyderabad,Petrol,15398,Manual,1,10072
29,Maruti,RitzVXI BS IV,367099,2012,Hyderabad,Petrol,24079,Manual,1,8166
30,Maruti,Alto 800LXI,349399,2018,Hyderabad,Petrol,18313,Manual,1,7772
31,Renault,KwidRXT 1.0 EASY-R AT OPTION,480999,2019,Hyderabad,Petrol,17078,Automatic,1,10700
32,Hyundai,i10MAGNA 1.2 KAPPA2,333899,2012,Hyderabad,Petrol,46986,Manual,1,7427
33,Maruti,AltoVXI,375299,2019,Hyderabad,Petrol,9222,Manual,1,8348
34,Maruti,AltoLXI,218699,2011,Hyderabad,Petrol,59373,Manual,2,4865
35,Maruti,Alto 800LXI,258199,2013,Hyderabad,Petrol,42131,Manual,1,5743
36,Maruti,Alto K10LXI,254299,2012,Hyderabad,Petrol,36870,Manual,2,5657
37,Maruti,Alto K10VXI,410699,2019,Hyderabad,Petrol,11699,Manual,1,9136
38,Maruti,OMNI ESTD,203699,2012,Hyderabad,Petrol,21950,Manual,1,4531
39,Hyundai,i10SPORTZ 1.2 KAPPA2,336299,2012,Hyderabad,Petrol,45099,Manual,1,7481
40,Hyundai,i10SPORTZ 1.1 IRDE2,401699,2014,Hyderabad,Petrol,27828,Manual,1,8936
41,Hyundai,i10SPORTZ 1.2 KAPPA2,338699,2011,Hyderabad,Petrol,39998,Manual,1,7534
42,Hyundai,i20MAGNA 1.2 VTVT,357399,2012,Hyderabad,Petrol,53847,Manual,1,7950
43,Maruti,AltoLXI,238099,2012,Hyderabad,Petrol,34881,Manual,1,5296
44,Maruti,SwiftVXI,613499,2018,Hyderabad,Petrol,19527,Manual,2,13647
45,Hyundai,i10SPORTZ 1.2 KAPPA2,314399,2011,Hyderabad,Petrol,57568,Manual,2,6994
46,Hyundai,Grand i10SPORTS 1.2 VTVT,498899,2017,Hyderabad,Petrol,18950,Manual,2,11098
47,Honda,,630399,2019,Hyderabad,Petrol,7093,,1,14023
48,Maruti,Wagon R 1.0VXI,301099,2011,Hyderabad,Petrol,61836,Manual,2,6698
49,Hyundai,i10ERA,222699,2008,Hyderabad,Petrol,83568,Manual,2,4954
50,Hyundai,i10MAGNA 1.2 KAPPA2,346399,2011,Hyderabad,Petrol,44470,Manual,2,7705
51,Maruti,Eeco5 STR WITH AC PLUSHTR,403399,2018,Hyderabad,Petrol,18791,Manual,1,8973
52,Maruti,Wagon R 1.0LXI CNG,298099,2011,Hyderabad,Petrol + CNG,59661,Manual,2,6631
53,Honda,Brio1.2 V MT I VTEC,368899,2012,Hyderabad,Petrol,58292,Manual,1,8206
54,Hyundai,Grand i10SPORTS 1.2 VTVT,461599,2015,Hyderabad,Petrol,45191,Manual,1,10268
55,Hyundai,i10MAGNA 1.2,310999,2010,Hyderabad,Petrol,23488,Manual,1,6918
56,Hyundai,i10SPORTZ 1.2 AT KAPPA2,393499,2011,Hyderabad,Petrol,31976,Automatic,2,8753
57,Hyundai,i10MAGNA 1.2,312399,2010,Hyderabad,Petrol,55317,Manual,1,6949
58,Maruti,Alto 800LXI,309699,2013,Hyderabad,Petrol,31384,Manual,1,6889
59,Maruti,AltoLXI,206199,2011,Hyderabad,Petrol,66212,Manual,2,4587
60,Maruti,RitzVXI BS IV,372899,2012,Hyderabad,Petrol,31891,Manual,2,8295
61,Maruti,Alto K10VXI,279799,2013,Hyderabad,Petrol,44958,Manual,2,6224
62,Hyundai,i10MAGNA 1.2 KAPPA2,319399,2012,Hyderabad,Petrol,50097,Manual,2,7105
63,Maruti,Alto 800LXI,324499,2018,Hyderabad,Petrol,20687,Manual,2,7218
64,Maruti,Wagon R StingrayVXI,353699,2013,Hyderabad,Petrol,51120,Manual,2,7868
65,Honda,Brio1.2 V MT I VTEC,398399,2012,Hyderabad,Petrol,42518,Manual,1,8862
66,Hyundai,Grand i10SPORTZ O 1.2,534799,2017,Hyderabad,Petrol,17700,Manual,1,11896
67,Hyundai,Grand i10SPORTS 1.2 VTVT,528399,2016,Hyderabad,Petrol,33396,Manual,1,11754
68,Maruti,Alto 800LXI,335499,2018,Hyderabad,Petrol,25725,Manual,1,7463
69,Maruti,Eeco5 STR WITH AC PLUSHTR,493799,2019,Hyderabad,Petrol,9128,Manual,1,10984
70,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,541999,2018,Hyderabad,Petrol,9147,Manual,1,12056
71,Maruti,AltoLXI,240299,2012,Hyderabad,Petrol,50011,Manual,2,5345
72,Maruti,CelerioZXI OPT,402799,2015,Hyderabad,Petrol,43028,Manual,2,8960
73,Hyundai,i10SPORTZ 1.2 KAPPA2,369099,2011,Hyderabad,Petrol,38337,Manual,1,8210
74,Hyundai,i10MAGNA 1.1 IRDE2,244699,2008,Hyderabad,Petrol,63141,Manual,2,5443
75,Maruti,SwiftVXI,449899,2015,Hyderabad,Petrol,49228,Manual,1,10008
76,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,543599,2018,Hyderabad,Petrol,12750,Manual,2,12092
